INFO   | jvm 1    | 2014/06/23 17:43:05 | [2014-06-23 17:43:05,095][INFO ][plugins                  ] [Hippolyta] loaded [transport-thrift, analysis-mmseg, analysis-pinyin, mapper-attachments, analysis-ik, analysis-smartcn, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [bigdesk, segmentspy, rtf, kopf, head, inquisitor, paramedic]
INFO   | jvm 1    | 2014/06/23 17:43:07 | {1.2.1}: Initialization Failed ...
INFO   | jvm 1    | 2014/06/23 17:43:07 | - ExecutionError[java.lang.IncompatibleClassChangeError: Implementing class]
INFO   | jvm 1    | 2014/06/23 17:43:07 | 	IncompatibleClassChangeError[Implementing class]
STATUS | wrapper  | 2014/06/23 17:43:09 | INT trapped.  Forcing immediate shutdown.
STATUS | wrapper  | 2014/06/23 17:43:09 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:43:22 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:43:22 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:43:22 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:43:22 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:43:22 | 
STATUS | wrapper  | 2014/06/23 17:43:23 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:43:23 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:43:24 | [2014-06-23 17:43:24,840][INFO ][node                     ] [Alex] version[1.2.1], pid[10325], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:43:24 | [2014-06-23 17:43:24,841][INFO ][node                     ] [Alex] initializing ...
INFO   | jvm 1    | 2014/06/23 17:43:25 | [2014-06-23 17:43:25,194][INFO ][plugins                  ] [Alex] loaded [transport-thrift, analysis-mmseg, analysis-pinyin, mapper-attachments, analysis-ik, analysis-smartcn, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [segmentspy, rtf, kopf, head, inquisitor, paramedic]
INFO   | jvm 1    | 2014/06/23 17:43:27 | {1.2.1}: Initialization Failed ...
INFO   | jvm 1    | 2014/06/23 17:43:27 | - ExecutionError[java.lang.IncompatibleClassChangeError: Implementing class]
INFO   | jvm 1    | 2014/06/23 17:43:27 | 	IncompatibleClassChangeError[Implementing class]
STATUS | wrapper  | 2014/06/23 17:43:29 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:44:12 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:44:12 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:44:12 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:44:12 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:44:12 | 
STATUS | wrapper  | 2014/06/23 17:44:13 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:44:13 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:44:15 | [2014-06-23 17:44:14,998][INFO ][node                     ] [Terror] version[1.2.1], pid[10464], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:44:15 | [2014-06-23 17:44:15,009][INFO ][node                     ] [Terror] initializing ...
